"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lifeusa.org/no/categories/reports","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/no/categories/tax-write-off","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/no/categories/philosophy","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/women-s-empowerment-the-key-to-solving-world-hunger","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/no/categories/purpose","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/one-dollar-can-change-someone-s-life","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/afghanistan-s-earthquake-stories-of-survival-and-relief","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/why-one-gift-means-the-world-to-an-orphaned-child","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/children-forced-to-sleep-in-cars-and-on-the-streets-as-over-800-000-are-displaced-in-lebanon","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/remembering-judge-frank-caprio-a-judge-who-redefined-leadership-through-compassion","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/over-6-5-hungry-in-somalia-why-your-giving-matters-now-more-than-ever","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/starvation-in-gaza-why-the-world-must-act-now-before-thousands-more-die","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/post/latest-cuts-to-humanitarian-aid-leave-millions-without-hope","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/webruntime-app/lwr-router-container/webruntime-inner-app/dxp_data_provider-user-data-provider/dxp_data_provider-data-proxy/dxp_data_provider-decision-data-provider/dxp_data_provider-data-proxy/community_byo-scoped-header-and-footer/footer/div/c-footer/section/div/div[@class='keywords']/a[3]","Header","HTML"
"Hyperlink","https://www.lifeusa.org/legacy","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/copy-of-freewill-landing-page","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/newsletters","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/news","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
"Hyperlink","https://www.lifeusa.org/press","https://www.lifeusa.org/water","0","","Water Wells","301","Moved Permanently","true","_self","","Absolute","//body/div/div/div[@id='site-root']/div/footer/div[@class='U4Bvut']/div[@class='CJF7A2']/div/div/section/div[@class='V5AUxf']/div/div[2]/div/div[@id='comp-kc01gkgm']/p/span/span/span/span[@class='wixui-rich-text__text'][3]/a","Footer","HTML"
