"Address","Content Type","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://static.wixstatic.com/media/74d008_caf1ff1456e649b8a7b338675113dde8~mv2.jpg/v1/fill/w_980,h_738,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_caf1ff1456e649b8a7b338675113dde8~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_8b6caea3e9ef4d9f9a709a9c4cf16bc0~mv2.jpg/v1/fill/w_980,h_738,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_8b6caea3e9ef4d9f9a709a9c4cf16bc0~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_f77f884049fb4e7282a11180f6a425bf~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_f77f884049fb4e7282a11180f6a425bf~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_2659d1c0582a443abe21f88591e79231~mv2.jpg/v1/fill/w_980,h_1302,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_2659d1c0582a443abe21f88591e79231~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_1b9145f0b0ea422cb029f067a9d3e14a~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_1b9145f0b0ea422cb029f067a9d3e14a~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_ebfad58ff280410fbcc0dc7f3172cd94~mv2.jpg/v1/fill/w_980,h_594,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_ebfad58ff280410fbcc0dc7f3172cd94~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_5d94dff0a7b447abaab12feb15bf4388~mv2.jpg/v1/fill/w_980,h_551,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_5d94dff0a7b447abaab12feb15bf4388~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_a82548c4fd814f3c8011bd97fe781436~mv2.jpg/v1/fill/w_980,h_555,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_a82548c4fd814f3c8011bd97fe781436~mv2.jpg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_3ac8242ab0734fabae314db55fc3f7a0~mv2.jpeg/v1/fill/w_980,h_735,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/74d008_3ac8242ab0734fabae314db55fc3f7a0~mv2.jpeg","image/jpeg","1","Indexable","",""
"https://static.wixstatic.com/media/74d008_296cafc1033f47d387456b0fadc55dec~mv2.jpg/v1/fill/w_900,h_636,al_c,q_85,enc_avif,quality_auto/74d008_296cafc1033f47d387456b0fadc55dec~mv2.jpg","image/jpeg","1","Indexable","",""
